Chromosome	Start	End	Mismatches
CM000663.2	85940121	85940433	1
CM000663.2	85940122	85940433	1
CM000663.2	85940122	85940432	1
CM000663.2	144846233	144846545	1
CM000663.2	144846234	144846545	1
CM000663.2	144846234	144846544	1
CM000665.2	69313856	69314168	1
CM000665.2	69313857	69314168	1
CM000665.2	69313857	69314167	1
CM000665.2	88629831	88630143	0
CM000665.2	88629832	88630143	0
CM000665.2	88629832	88630142	0
CM000666.2	132898457	132898769	1
CM000666.2	132898458	132898769	1
CM000666.2	132898458	132898768	1
CM000667.2	125028155	125028467	1
CM000667.2	125028156	125028467	1
CM000667.2	125028156	125028466	1
CM000669.2	39808488	39808800	0
CM000669.2	39808489	39808800	0
CM000669.2	39808489	39808799	0
CM000670.2	100790759	100791071	1
CM000670.2	100790760	100791071	1
CM000670.2	100790760	100791070	1
CM000674.2	62838638	62838950	1
CM000674.2	62838639	62838950	1
CM000674.2	62838639	62838949	1
CM000675.2	63082059	63082371	1
CM000675.2	63082060	63082371	1
CM000675.2	63082060	63082370	1
CM000675.2	67618127	67618437	1
CM000676.2	34836096	34836408	1
CM000676.2	34836097	34836408	1
CM000676.2	34836097	34836407	1
CM000677.2	53225104	53225416	1
CM000677.2	53225105	53225416	1
CM000677.2	53225105	53225415	1
CM000678.2	20767235	20767545	1
CM000679.2	18689762	18690074	0
CM000679.2	18689763	18690074	0
CM000679.2	18689763	18690073	0
CM000679.2	19593502	19593814	1
CM000679.2	19593503	19593814	1
CM000679.2	19593503	19593813	1
CM000683.2	26516832	26517144	1
CM000683.2	26516833	26517144	1
CM000683.2	26516833	26517143	1
KI270778.1	54846	55158	1
KI270778.1	54847	55158	1
KI270778.1	54847	55157	1
